Name,Brand,Price,Old Price,Discount,Stock,Rating,Reviews,First Comment,Second Comment,Seller Info,Seller Performance
"TP-Link CLE USB Bluetooth 5.0 pour PC , smartphone",Marque: TP-Link ,159.00 Dhs,199.00 Dhs,20%,Nan,4.8 out of 5,(20 avis vérifiés),5 out of 5خدام مزيانخدم ليا ناضي غي هو غالي مقارنة مع أجهزة أخرى 14-10-2024par AbdelhakAchat vérifié,"5 out of 5ExcellentMa3endi mangoul, kheddam mezyan, kaykhdem directement23-08-2024par AdnaneAchat vérifié",86%Évaluation du vendeur160 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: BonAvis des consommateurs: Bon
Tapis de souris Repose-poignet souple pour ordinateur de bureau,...Tapis MEICALE,42.00 Dhs,75.00 Dhs,44%,Nan,4.3 out of 5,(81 avis vérifiés),"5 out of 5Satisfaction Très utile 
Je le recommande fortement 24-09-2024par Bernorine KiakaAchat vérifié",1 out of 5poor qualityPoor quality 25-03-2024par ILIASAchat vérifié,86%Évaluation du vendeur541 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: BonAvis des consommateurs: Bon
Câble Réseau Ethernet RJ45  CAT6 15 Mètre,15M,63.00 Dhs,83.00 Dhs,24%,Nan,4.4 out of 5,(96 avis vérifiés),5 out of 5جيد في توصيل الأنترنيت من جهاز روتر إلى DVRجيد في توصيل الأنترنيت من جهاز روتر إلى XVR، DVR طوله مناسب إن كان روتر بعيد19-06-2024par يوسفAchat vérifié,5 out of 5hiIt's a good cable for 8$28-03-2024par Nasser eddineAchat vérifié,86%Évaluation du vendeur160 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: BonAvis des consommateurs: Bon
General Seringue pâte thermique 30 grammes pour processeur CPU PC Refroidisseur,Marque: General ,32.00 Dhs,54.00 Dhs,41%,Disponible,4.1 out of 5,(98 avis vérifiés),"1 out of 5معلومةلم أرا 
أي تغير في حرارة الكمبيوتر 25-09-2024par YoussefAchat vérifié",4 out of 5kheddamaKheddama walakin Machi top (mera mera processeur kaytla3 l 98 degré) . Momkin tsalek biha temporairement 3la matl9a chi patte 7ara kter03-09-2024par SouhilAchat vérifié,86%Évaluation du vendeur160 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: BonAvis des consommateurs: Bon
Hp Imprimante Multifonction jet d'encre couleur DeskJet 2720 ALL-IN-ONE,Marque: Hp ,549.00 Dhs,850.00 Dhs,35%,4 articles seulement,4 out of 5,(2 avis vérifiés),Nan,Nan,80%Évaluation du vendeur64 AbonnésSuivre,Performance vendeurVitesse d'expédition: BonScore Qualité: ExcellentAvis des consommateurs: Moyen
Otg Adaptateur OTG de type C à USB 3.0,Marque: Otg ,24.99 Dhs,24.99 Dhs,0,4 articles seulement,4.3 out of 5,(84 avis vérifiés),3 out of 5لا باس بهالمنتج هش يمكن ان ينكسر في اي لحظه بالإضافة إلى تكلفة التوصيل الغالية و التي تتأخر كثيرا23-09-2024par MohamedAchat vérifié,5 out of 5j'aimeKhdam mzyan09-09-2024par MohammedAchat vérifié,80%Évaluation du vendeur217 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: BonAvis des consommateurs: Moyen
"Samsung Disque Dur Externe M3 STSHX-M500TCB 2,5"" - 500Go - USB 3.0",Marque: Samsung ,240.00 Dhs,299.00 Dhs,20%,8 articles seulement,4.2 out of 5,(64 avis vérifiés),"5 out of 5parfaitKhdam li mzn saraha taynf3ni n7et fih ga3 li bghit, le but 3lach khdito 79e9o bsnba liya ana 500go kafyani. Y9der chi 7ed akhor ybghi kter wla 9el ms lmohim khdam mzn, ghi 7awlo ma ty7ohch ana tanredo lcartonto, 7it m3rofa had les disques externe la ta7o chi ti7a khayba y9der ykhsser wymchiw lik ga3 les donnees li fih.03-09-2024par AyoubAchat vérifié",3 out of 5okJe ne l'ai pas encore utilisé mais il est arrivé en très bon état 01-07-2024par SaraAchat vérifié,66%Évaluation du vendeur830 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: MauvaisAvis des consommateurs: Moyen
Hp PRODESK 600 G1 Tour Core i5 - 4590 3.30Ghz - 8Go - 500Go -DVD-RW Remis A Neuf,Marque: Hp ,950.00 Dhs,"1,199.00 Dhs",21%,6 articles seulement,4.2 out of 5,(85 avis vérifiés),5 out of 5جيدجيد جدا23-08-2024par AhmedAchat vérifié,5 out of 5goodمنتج جيد ????24-06-2024par MouradAchat vérifié,100%Évaluation du vendeur822 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: ExcellentAvis des consommateurs: Excellent
Razer Tapis de souris Crystals 900 x 300 MM Tapis gamer souris et clavier Gaming Mouse Pad,Marque: Razer ,59.00 Dhs,59.00 Dhs,0,Disponible,4.3 out of 5,(7 avis vérifiés),Nan,Nan,94%Évaluation du vendeur354 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: ExcellentAvis des consommateurs: Bon
TP-Link Adaptateur USB et Clé WiFi à gain élevé 300Mbps TL-WN822N,Marque: TP-Link ,135.00 Dhs,300.00 Dhs,55%,Disponible,4.2 out of 5,(146 avis vérifiés),5 out of 5j'aimebon produit avec bon prix25-09-2024par KasmiAchat vérifié,"5 out of 5Dépassse mes attentesBon rapport qualité/prix, livraison rapide16-08-2024par RédaAchat vérifié",86%Évaluation du vendeur541 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: BonAvis des consommateurs: Bon
Boutique OfficielleHp PC GAMER CORE I5-6éme Génération - RAM 8Go DDR4 - HDD 500Go + 128Go SSD - RADEON HD7570 - 1Go - GDDR5 - Remis à Neuf,Marque: Hp ,"1,699.00 Dhs","3,479.00 Dhs",51%,8 articles seulement,3.7 out of 5,(31 avis vérifiés),1 out of 5bad pc for games Hchoma ytsema gamer ohowa fih 128mb f vram ...o les jeux m installé  b simulateur d andriod ????17-09-2024par MoncefAchat vérifié,3 out of 5جيدوصلني فيه غير 4 فرام  أو مفهيش GTA 04-09-2024par اسامةAchat vérifié,74%Évaluation du vendeur788 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: MauvaisAvis des consommateurs: Bon
"Mini clavier et souris sans fil Bluetooth pour PC, iPad, téléphone, tablette",Les commandes Jumia Express sont éligibles à la livraison gratuite. Offre soumise à conditionsAdieu au temps perdu aux péages. Rechargez votre Pass Jawaz maintenant et gagnez votre temps !,179.00 Dhs,300.00 Dhs,40%,3 articles seulement,3.3 out of 5,(11 avis vérifiés),3 out of 5Souris machi. Rechargeable Clavier cava  material dyalha chwiya na9s flkhdma  walakin souris  mssiftin m3aha cable whiya katkhdem a bl7jr 13-09-2024par ILYAS EL ALAOUIAchat vérifié,"5 out of 5j'aime çaThe quality is very good for such a budget keyboard. I recommend it, you won't regret it!28-07-2024par TatianaAchat vérifié",74%Évaluation du vendeur2161 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: MoyenAvis des consommateurs: Moyen
"DELL Souris RGB rechargeable portable sans fil silencieuse Bluetooth et USB 2,4 GHz",Marque: DELL ,79.00 Dhs,119.00 Dhs,34%,7 articles seulement,4.3 out of 5,(7 avis vérifiés),Nan,Nan,80%Évaluation du vendeur100 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: BonAvis des consommateurs: Moyen
Hp PC GAMER i5 6éme Gén - 16GB RAM - 256GB SSD / 500GB HDD - NVIDIA GT 710 2GB - Windows 10 - remis à neuf,Marque: Hp ,"2,649.00 Dhs","3,500.00 Dhs",24%,Nan,3.9 out of 5,(10 avis vérifiés),5 out of 5naaaaaaadiSaraha mn nahit Les game rah jaw m3ah ou HTA l mo3alij khfif bzaf mn nahit Les game Rani ba9i ma l9it HTA chi problem merci jumia02-10-2024par AyoubAchat vérifié,5 out of 5pas malIl est bon pour son prix24-09-2024par mohammed amineAchat vérifié,80%Évaluation du vendeur66 AbonnésSuivre,Performance vendeurVitesse d'expédition: BonScore Qualité: ExcellentAvis des consommateurs: Moyen
Razer Tapis de souris goliathus 900 x 300 MM Tapis gamer souris et clavier Gaming Mouse Pad,Marque: Razer ,89.00 Dhs,89.00 Dhs,0,Disponible,4.1 out of 5,(7 avis vérifiés),Nan,Nan,94%Évaluation du vendeur354 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: ExcellentAvis des consommateurs: Bon
Tapis de souris Gaming,Tapis wlf,25.99 Dhs,59.10 Dhs,56%,Nan,4.2 out of 5,(96 avis vérifiés),5 out of 5رائعمقاس كبير وجودة عالية04-05-2023par YahyaAchat vérifié,3 out of 5bon qualiteMoyenne qualité22-11-2022par ZAKARIAAchat vérifié,86%Évaluation du vendeur541 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: BonAvis des consommateurs: Bon
Hp Pack cartouche d'origine 305 Noir + 305 Couleur,Marque: Hp ,356.00 Dhs,356.00 Dhs,0,2 articles seulement,4.4 out of 5,(14 avis vérifiés),Nan,Nan,80%Évaluation du vendeur68 AbonnésSuivre,Performance vendeurVitesse d'expédition: BonScore Qualité: BonAvis des consommateurs: Bon
R8 Souris gamer 7 Buttons 7200 DPI elegante gaming mouse,Marque: R8 ,119.00 Dhs,399.00 Dhs,70%,Disponible,4.6 out of 5,(62 avis vérifiés),4 out of 5جيدجيد بالنسبة للثمن16-10-2024par mohamedAchat vérifié,5 out of 5topمنتوج ممتاز07-10-2024par hamzaAchat vérifié,94%Évaluation du vendeur354 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: ExcellentAvis des consommateurs: Bon
"Sandisk Clé USB 128GB V2.0 Flash Drive, Cruzer Blade DataTraveler",Marque: Sandisk ,113.00 Dhs,199.00 Dhs,43%,Disponible,4.7 out of 5,(7 avis vérifiés),"5 out of 5j'aime çagood USB ,it have only one issue the size is not 128GB it's only 114GB where is the other 14GB ??????!!!!!!!!09-10-2024par NabilAchat vérifié",5 out of 5انه جيد جدا !فيه مكان وحدة تخزين كبيرة !19-08-2024par ZakariaeAchat vérifié,86%Évaluation du vendeur3586 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: BonAvis des consommateurs: Bon
Laptop stand Support ordinateur portable en alliage d'aluminium réglable,Laptop stand Support ordinateur...,89.00 Dhs,149.00 Dhs,40%,Disponible,4.6 out of 5,(70 avis vérifiés),"5 out of 5zwinaZwina bezaaaf wakha pc portable kbir chwya 
17-05-2024par YoussefAchat vérifié",5 out of 5Good qualityThe stand is stable  and strong 01-04-2024par YounesAchat vérifié,86%Évaluation du vendeur160 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: BonAvis des consommateurs: Bon
mifoy GM100 Souris de jeu gamer PRO RGB Capteur Optique 1200 à 3200 DPI LED 6 boutons,Marque: mifoy ,68.00 Dhs,210.00 Dhs,68%,Disponible,4.3 out of 5,(278 avis vérifiés),4 out of 5nicewoth it22-07-2024par SaidaAchat vérifié,5 out of 5Excellent vu son prix.Fonctionne facilement. Solide.24-06-2024par JalalAchat vérifié,74%Évaluation du vendeur2161 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: MoyenAvis des consommateurs: Moyen
"XIAOMI Mi Souris sans fil double mode, édition silencieuse 2.4GHz - Bluetooth mode",Marque: XIAOMI ,186.00 Dhs,299.00 Dhs,38%,Disponible,4.5 out of 5,(33 avis vérifiés),5 out of 5superTrès bonne souris après quelques jours d'usage. Très silencieuse elle fonctionne en bluetooth et en sans fil normal. Elle utilise des piles AAA donc les petites piles pour les télécommandes récentes. Juste suivez bien le catalogue pour bien l'utiliser 19-08-2024par YassirAchat vérifié,5 out of 5bon produitRapport qualité prix impecable 01-07-2024par WassimAchat vérifié,86%Évaluation du vendeur3586 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: BonAvis des consommateurs: Bon
"Boutique OfficielleSmartedge Adventures Sacoche Pc portable 15.6"" et 17"" 'Pratik' Noir",Marque: Smartedge Adventures ,129.00 Dhs,200.00 Dhs,36%,Disponible,3.9 out of 5,(24 avis vérifiés),"4 out of 5cartableمزيانة، ولكن كبيرة بزااف 17"". تصلاح لشي حاجة كبيرة قرعة وكتب وحاسوب. 26-08-2024par AdelhakimAchat vérifié","5 out of 5I love itAs I expected, very good quality.31-07-2024par MaryamAchat vérifié",94%Évaluation du vendeur67 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: BonAvis des consommateurs: Excellent
"Sac pour pc portable, mallette pour pc, cartable, sacoche - 15 POUCES",Les commandes Jumia Express sont éligibles à la livraison gratuite. Offre soumise à conditionsAdieu au temps perdu aux péages. Rechargez votre Pass Jawaz maintenant et gagnez votre temps !,99.00 Dhs,299.00 Dhs,67%,Nan,3.2 out of 5,(13 avis vérifiés),5 out of 5J'aimeUne livraison très rapide et un produit conforme à la description !14-10-2024par FadwaAchat vérifié,5 out of 5je valideOui23-07-2024par MehdiAchat vérifié,80%Évaluation du vendeur52 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: MoyenAvis des consommateurs: Bon
Table PC Portable réglable et pliable avec Support Souris,...Table PC Portable Z,185.90 Dhs,245.00 Dhs,24%,Disponible,4.4 out of 5,(36 avis vérifiés),3 out of 5le produitLa matière du produit n'est pas satisfaisante10-09-2024par TarikAchat vérifié,5 out of 5trés utiletrés utile14-05-2024par ismailAchat vérifié,86%Évaluation du vendeur160 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: BonAvis des consommateurs: Bon
"Mini lecteur de carte mémoire Flash TF, USB 2.0, Micro SD, adaptateur pour pc",Les commandes Jumia Express sont éligibles à la livraison gratuite. Offre soumise à conditionsAdieu au temps perdu aux péages. Rechargez votre Pass Jawaz maintenant et gagnez votre temps !,12.00 Dhs,25.00 Dhs,52%,Disponible,3.6 out of 5,(14 avis vérifiés),Nan,Nan,74%Évaluation du vendeur177 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: MoyenAvis des consommateurs: Moyen
Hp Laptop EliteBook CORE i5-6eme RAM 8Go/SSD 256Go Pack Gratuit  -Remis à neuf,Marque: Hp ,"2,599.00 Dhs","5,400.00 Dhs",52%,Disponible,1 out of 5,(1 avis vérifié),Nan,Nan,74%Évaluation du vendeur161 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: MauvaisAvis des consommateurs: Bon
High Speed 4 Port USB 3.0 Multi HUB Splitter Expansion USB,Noir,55.00 Dhs,65.00 Dhs,15%,Nan,3.7 out of 5,(43 avis vérifiés),4 out of 5بسيط.وجيديبدو لي أنه مميز08-07-2024par MohamedAchat vérifié,5 out of 5simple a fiableRalonge usb en bon état depuis 2ans11-12-2023par BirahimAchat vérifié,86%Évaluation du vendeur160 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: BonAvis des consommateurs: Bon
Tapis de souris neon rog 900 x 300 MM tapis gamer souris et clavier Gaming Mouse Pad,Les commandes Jumia Express sont éligibles à la livraison gratuite. Offre soumise à conditionsAdieu au temps perdu aux péages. Rechargez votre Pass Jawaz maintenant et gagnez votre temps !,79.00 Dhs,99.00 Dhs,20%,Nan,4.5 out of 5,(11 avis vérifiés),"3 out of 5Qualité très moyenneDélais de livraison assez long, qualité moyenne voir même en deçà de ce à quoi on s'attend en regardant les images de l'annonce, prix correct18-01-2024par CHIHABAchat vérifié",5 out of 5TopTop07-12-2023par ZakariaAchat vérifié,94%Évaluation du vendeur354 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: ExcellentAvis des consommateurs: Bon
"Hp Imprimante Wi-Fi  (Impression,copie,numérisation) - DeskJet 2710 + Cable USB 2.0",Marque: Hp ,539.00 Dhs,720.00 Dhs,25%,7 articles seulement,5 out of 5,(3 avis vérifiés),Nan,Nan,80%Évaluation du vendeur64 AbonnésSuivre,Performance vendeurVitesse d'expédition: BonScore Qualité: ExcellentAvis des consommateurs: Moyen
"Sac à dos ordinateur, business loisirs, voyage, cartable étudiant avec port USB","15.6""",177.00 Dhs,349.00 Dhs,49%,Nan,3.8 out of 5,(4 avis vérifiés),Nan,Nan,86%Évaluation du vendeur61 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: ExcellentAvis des consommateurs: Moyen
"Boutique OfficielleLenovo Clés USB,1900 GB/2TB (Type-c et usb 3.0/2.0)",Marque: Lenovo ,229.00 Dhs,349.00 Dhs,34%,2 articles seulement,4.3 out of 5,(15 avis vérifiés),"1 out of 5mauvaise qualitéLa clé que j'ai reçue a bien fonctionné le premier jour puis plus rien. Elle n'est plus reconnue par tous les ordinateurs que j'ai essayés, malgré les tentatives de réparation elle n'a pas fonctionné☹️????18-09-2024par MostafaAchat vérifié",5 out of 5Fiable bon produit Fiable bon produit livraison rapide03-06-2024par Mona ErrachidiAchat vérifié,80%Évaluation du vendeur30 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: ExcellentAvis des consommateurs: Mauvais
Dml Casque Gaming Switch avec Micro Anti Bruit Filaire LED Lampe Stéréo Bass,Marque: Dml ,145.00 Dhs,145.00 Dhs,0,4 articles seulement,4.8 out of 5,(4 avis vérifiés),Nan,Nan,86%Évaluation du vendeur160 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: BonAvis des consommateurs: Bon
Tapis de souris fluide et souple Noir Antidérapant carbon,...Tapis de souris fluide et souple Noir,23.00 Dhs,45.00 Dhs,49%,Disponible,4.1 out of 5,(122 avis vérifiés),5 out of 5bon produit C un bon petit tapis si vous voulez l'utiliser en dehors de la maison dans un café ou autre c bon. Juste il est petit je pense il fait du 20cm x 20cm 19-08-2024par YassirAchat vérifié,5 out of 5excellentExcellent 28-06-2024par DarrylAchat vérifié,86%Évaluation du vendeur160 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: BonAvis des consommateurs: Bon
Boutique OfficielleKRÖHLER Lecteur DVD port HDMI USB Afficheur,Marque: KRÖHLER ,149.00 Dhs,299.00 Dhs,50%,Nan,3.9 out of 5,(42 avis vérifiés),"5 out of 5TopCa marche bien 
01-10-2024par Rajaa AzzoumAchat vérifié",4 out of 5le seul inconvénient il ne lis pas MP4il fait l'affaire sauf il ne supporte pas le MP4 ni MKV23-09-2024par hichamAchat vérifié,74%Évaluation du vendeur262 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: MoyenAvis des consommateurs: Moyen
"Sac pour pc portable, mallette pour pc, cartable, sacoche - 14 POUCES",Les commandes Jumia Express sont éligibles à la livraison gratuite. Offre soumise à conditionsAdieu au temps perdu aux péages. Rechargez votre Pass Jawaz maintenant et gagnez votre temps !,99.00 Dhs,299.00 Dhs,67%,2 articles seulement,4 out of 5,(12 avis vérifiés),5 out of 5parfaiitTres satisfait 14-10-2024par AliAchat vérifié,5 out of 5DDExcellent quality ????????????????????16-05-2024par MOHAMEDAchat vérifié,80%Évaluation du vendeur52 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: MoyenAvis des consommateurs: Bon
Support pour pc portable en aluminium ajustables en 7 positions multifonction,Support  aluminium...,89.00 Dhs,105.00 Dhs,15%,Disponible,4.3 out of 5,(106 avis vérifiés),3 out of 5creatifC'est bénéfique pour les longues heures de travail et pour la posture 22-08-2024par SafaeAchat vérifié,5 out of 5BienTrop petit mais il marche bien12-08-2024par SimoAchat vérifié,86%Évaluation du vendeur541 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: BonAvis des consommateurs: Bon
Adaptateur USB 2.0/3.0 vers 2.5 Sata-III Disque Dur-SSD-,...daptateur3.0 vers 2.5 Sata,61.00 Dhs,150.00 Dhs,59%,Nan,4.2 out of 5,(183 avis vérifiés),5 out of 5جيد.جميل جدا19-09-2024par محمد امينAchat vérifié,"5 out of 5J'aime ce produitCar C’était une succession, le transfert de tous mes fichiers, et donc sur son prix bon marché, cela en a fait un excellent produit20-03-2024par WafaaAchat vérifié",86%Évaluation du vendeur160 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: BonAvis des consommateurs: Bon
"Boutique OfficielleSH 2.4Ghz Souris sans Fil 6 Boutons 2400 DPI Réglable pour PC Portable, Bureau, MAC",Marque: SH ,75.00 Dhs,245.00 Dhs,69%,Disponible,3.4 out of 5,(25 avis vérifiés),3 out of 5sourisle scroll de la souris est cassé24-01-2024par Ghali chbaniAchat vérifié,4 out of 5Bonne qualitéBonne qualité Merci23-10-2023par YoussefAchat vérifié,74%Évaluation du vendeur2161 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: MoyenAvis des consommateurs: Moyen
Boutique OfficielleSH Souris de jeu gamer PRO RGB Capteur Optique 1200 à 3200 DPI LED 6 boutons,Marque: SH ,68.00 Dhs,140.00 Dhs,51%,Disponible,4.4 out of 5,(14 avis vérifiés),4 out of 5جيد مقارة بثمنهجيد مقارة بثمنه17-09-2024par HamzaAchat vérifié,5 out of 5جيدرائع افضل من المتوقع و خامته اسطورية ناااضي26-07-2024par mouadAchat vérifié,74%Évaluation du vendeur2161 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: MoyenAvis des consommateurs: Moyen
Aula Pack clavier + souris gaming mécanique avec 104 touches RGB anti-ghosting + KNOB,Marque: Aula ,259.00 Dhs,390.00 Dhs,34%,Disponible,3.3 out of 5,(6 avis vérifiés),Nan,Nan,74%Évaluation du vendeur2161 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: MoyenAvis des consommateurs: Moyen
"Boutique OfficielleLogitech K120 Clavier Filaire pour Windows, USB Plug-and-Play, Taille Standard, Résistant Eclaboussures, Barre D'Espacement Incurvée, Compatible PC, Ordinateur Portable- Noir",Marque: Logitech ,89.00 Dhs,149.00 Dhs,40%,Nan,4.3 out of 5,(16 avis vérifiés),Nan,Nan,100%Évaluation du vendeur,Nan
Hp PC GAMER EliteDesk 800 i5-4590 8GB 128GB SSD FirePro V4900 GDDR5  - Remis à Neuf,Marque: Hp ,"1,375.00 Dhs","1,375.00 Dhs",0,5 articles seulement,1 out of 5,(1 avis vérifié),Nan,Nan,100%Évaluation du vendeur822 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: ExcellentAvis des consommateurs: Excellent
"Boutique OfficielleSmartedge Adventures Sac &agrave; dos 'Explore' pour pc portable 15.6"" Noir",Marque: Smartedge Adventures ,249.00 Dhs,350.00 Dhs,29%,Nan,4.8 out of 5,(4 avis vérifiés),4 out of 5محفظة جميلةتوبها صحيح و كتهز28-08-2024par JamilaAchat vérifié,5 out of 5CcZwiiiina????????22-08-2024par Zainab BentoumiAchat vérifié,94%Évaluation du vendeur67 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: BonAvis des consommateurs: Excellent
WD Western Digital - Elements Disque Dur Externe Portable 500 GB USB 3.0,Marque: WD ,260.00 Dhs,509.00 Dhs,49%,Nan,4.2 out of 5,(42 avis vérifiés),5 out of 5bon affaireGood06-09-2024par YounèsAchat vérifié,2 out of 5dessusdéjà utilisé plusieurs fois 19-08-2024par Si MohamedAchat vérifié,80%Évaluation du vendeur66 AbonnésSuivre,Performance vendeurVitesse d'expédition: BonScore Qualité: ExcellentAvis des consommateurs: Moyen
"Imice MK-X60 Clavier Gaming mécanique BLUE SWITCH, 87 touches, rétro-éclairage RGB Gamer",Marque: Imice ,275.00 Dhs,550.00 Dhs,50%,Disponible,4.3 out of 5,(7 avis vérifiés),3 out of 5!!il ya des bouton qui ne marche plus comme celui pour changer de couleur mais le clvier en lui meme est bien06-05-2024par NeylAchat vérifié,5 out of 5topقيمة رائعة مقابل سعره02-05-2024par redaAchat vérifié,74%Évaluation du vendeur2161 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: MoyenAvis des consommateurs: Moyen
TP-Link TL-WN722N - Clé wifi USB - 150 Mbps - WPS Bouton - Gain Elevé -  4dBi -  Blanc,Marque: TP-Link ,115.00 Dhs,200.00 Dhs,43%,Nan,4 out of 5,(76 avis vérifiés),"4 out of 5لابئس بهاجيدة تعمل بشكل جيد
02-08-2024par ZakariaAchat vérifié",5 out of 5pas trop loin mais trop rapide????????????26-07-2024par MouadAchat vérifié,86%Évaluation du vendeur541 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: BonAvis des consommateurs: Bon
"Boutique OfficielleJedel Clavier Mécanique KL-95 à lumière mixte, avec effet de lumière RGB personnalisé",Marque: Jedel ,248.00 Dhs,475.00 Dhs,48%,Nan,4.4 out of 5,(125 avis vérifiés),1 out of 5some of my keybord keys is not woking lsome of my keybord keys is not woking like w and windows i dont know what to do14-10-2024par yassineAchat vérifié,5 out of 5نغمة فيه يا سلامأول مرة نقول عندي كلافيي شي حاجة ناضية بالروجولة28-08-2024par BrahimAchat vérifié,74%Évaluation du vendeur2161 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: MoyenAvis des consommateurs: Moyen
Boutique OfficielleSH Pack Combo Gaming Clavier + Souris 7D USB RGB,Marque: SH ,175.00 Dhs,399.00 Dhs,56%,Nan,3.9 out of 5,(266 avis vérifiés),3 out of 5ma bihchSaraha clavier 3adia walakine souris chi Haga Nadia mais kathsbiha copie 14-10-2024par WalideAchat vérifié,3 out of 5Pas malPas mal sara7a mais l7rofa makaybanoch fe clavier!05-08-2024par SaadAchat vérifié,74%Évaluation du vendeur2161 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: MoyenAvis des consommateurs: Moyen
Câble Réseau Ethernet RJ45  CAT6 LAN,0.5M3M5M10M20M30M,25.00 Dhs - 150.00 Dhs,29.00 Dhs - 200.00 Dhs,46%,Disponible,4.5 out of 5,(84 avis vérifiés),5 out of 5goodTested with 50mbps internet and it's very stable30-01-2023par AymaneAchat vérifié,5 out of 5AvantagesRapport qualité prix exelent08-04-2022par Imad eddineAchat vérifié,60%Évaluation du vendeur576 AbonnésSuivre,Performance vendeurVitesse d'expédition: BonScore Qualité: Très MauvaisAvis des consommateurs: Excellent
"Adaptateur HDMI vers VGA 1080P, Convertisseur HDMI Mâle à VGA",...HDMI vers VGA NR,39.99 Dhs,70.00 Dhs,43%,Nan,3.8 out of 5,(27 avis vérifiés),"1 out of 5NoooNe marche pas
19-06-2024par RACHIDAAchat vérifié",4 out of 5bon produitbon produit08-04-2024par ImadAchat vérifié,86%Évaluation du vendeur160 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: BonAvis des consommateurs: Bon
Câble Adaptateur DP pour Display port mâle vers HDMI Femelle - Noir,Display port vers HDMI Nr...,49.00 Dhs,55.00 Dhs,11%,Nan,3.4 out of 5,(20 avis vérifiés),2 out of 5لالم ينقل الصوت من الحاسب الى التلفاز18-03-2024par NorAchat vérifié,3 out of 5qualité faiblelamcha tatza3za3 rachwiya kaymchi sora22-08-2023par SaadAchat vérifié,86%Évaluation du vendeur541 AbonnésSuivre,Performance vendeurVitesse d'expédition: ExcellentScore Qualité: BonAvis des consommateurs: Bon
